Año de presentación;Expediente No. (Sigla completa del sistema de la Corte);Carátula;Fecha de la Resolución;Cita de Fallos;Tipo de Actor 1;Actor 2 (si hubiera más de un tipo);Actor 3 (si hubiera más de dos tipos);Vecinos de otra provincia;La Corte utiliza la causal de vecindad;Tipo de Demandado 1;Tipo de Demandado 2 (si hubiera más de un tipo);Tipo de Demandado 3 (si hubiera más de dos tipo);Tipo de demandado 4;Cantidad de Provincias que  originalmente integran la litis;Citación de terceros ;Cantidad de provincias citadas como tercero por el tribunal;Tema;Recurso involucrado (nombrar el recurso);Posterga;Decision de la Corte;Argumento para sostener o rechazar la competencia originaria;Involucra recurso interjurisdiccional (según la Corte);Prueba del daño interjurisdiccional;Prueba presentada;Dicta cautelar;Convoca a Audiencia Pública;Conformación de Mayoría (solo respecto de la competencia);de quién es la disidencia/voto?;disidencia sobre total;Cantidad de jueces que votan (en cualquier sentido);Quienes no votan;Presidencia;Composición;Jurisprudencia citada por la Corte sobre interjurisdiccionalidad;Procurador;Involucra un recurso interjurisdiccional para el Procurador;Remisión al procurador (total o parcialmente);Secretaría de tramitación (al momento de determinar la competencia);Comentarios
1992;R. 13. XXVIII. ORI;"Roca, Magdalena c/ Buenos Aires, Provincia de s/ inconstitucionalidad
";16/5/1995;No tiene;Persona Física;NA;NA;No dice;No;Estado Provincial;NA;NA;NA;1;No;0;Aguas;Río de la Plata;0;Rechaza;Derecho local;No dice;NA;NA;No;No;Unanimidad;NA;NA;5;Boggiano, Levene, López y Nazareno;JN;JN1;"Fallos: 311:489;  Fallos: 97:177; 183: 160; 271:244 y sus citas;  Fallos: 240:210; 249:165; 259:343; 277:365; 291:232; 292:625; Fallos: 122: 242; 306:1310; 311:1588; Fallos: 180:87; 255:256; 258:116; 259:343; 283:429, entre otros; Fallos: 141:271; Fallos: 236:559; Fallos: 311:2478";competencia;no dice;No;ORI;El dictamen sí considera que la cuestión es eminentemente federal porque se pone en cuesitón la constitucionalidad de una norma provincial por ser contraria a la Constitución Nacional y a un Tratado Internacional
1999;S. 608. XXXV. ORI;Santa Victoria de los Montes S.R.L. c/ Buenos Aires, provincia de y otros (Municipalidad de Campana y Zárate) s/ amparo;14/10/1999;No tiene;Empresa;NA;NA;No dice;No;Estado Provincial;Municipio;NA;NA;1;No;0;Residuos;Km5 del camino que une la RN 9 con la Ciudad de Capilla del Señor, donde se planea emplazar un relleno sanitario para disposición final de residuos;0;Rechaza;Derecho local;No dice;NA;NA;No;No;Unanimidad;NA;NA;9;NA;JN;JN3;"Fallos:
318:992";incompetencia;no dice;No;ORI;El procurador entiende que es un tema propio del derecho público local. La Corte lo considera sustancialmente análogo a 318:992 (Roca Magdalena) y remite a lo allí sostenido
2000;D. 6. XXXVI. ORI;DESLER S.A. c/ BUENOS AIRES, PROVINCIA DE (SECRETARIA DE POL ITICA AMBIENTAL DE LA PROVINCIA DE BUENOS AIR ES).- s/MEDIDA CAUTELAR.-;21/11/2000;No tiene;Empresa;NA;NA;Si;No;Estado Provincial;NA;NA;NA;1;No;0;Poder de Policía;NA;0;Rechaza;Derecho local;No dice;NA;NA;No;No;Unanimidad;NA;NA;7;López y Nazareno;JN;JN3;NA;incompetencia;No dice;Si;ORI;"PGN sostiene que no corresponde la competencia originaria ya que ""no se halla en juego el transporte interjurisdiccional de los residuos peligrosos. sino los recaudos que exige la
Provincia para poder efectuarlo. lo cual hace al ejercicio del poder de pollcia ambiental. materia que Be halla vinculada al Derecho Público local"". Agrega que "" su competencia originaria procede cuando la acción entablada se funda directa y exclusivamente en prescripciones constitucionales de carácter nacional. en leyee del Congreso o en tratados con las naciones extranjeras. de tal suerte que la cuestión federal sea la predominante en la
causa (Fallos: 115:167; 292:625; 311:1588; 315:448). pero no cuando -como sucede en la especie- se intenta obtener la nulidad de actos administrativos emanados de la Provincia que conciernen a la preservación del ambiente y que, en consecuencia. resultan de competencia de los poderes locales de conformidad con los arts. 41. párrafo 3º. 121, 122 Y 124 de la Constitución Nacional. toda vez que V.E .•. para resolver el pleito, debería examinar normas y actos provinciales, interpretándolos en su espíritu y en los efectos que la soberanía local ha querido darles. lo cual es ajeno a su instancia (Fallos: 318:992. entre otros y sentencia ~e E. 154. XXXIV. Originario ""Eco-elines S.A. c/Mendoza. Provincia de
s/cobro de pesos"", del 7 de abril de 1999)."
2001;M. 219. XXXVII. ORI;MARTINEZ, ARGENTINA BEATRIZ c/ MISIONES, PROVINCIA DE Y OTROS s/DAÑOS Y PERJUICIOS;9/4/2002;No tiene;Persona Física;NA;NA;No;No;Ente nacional/internacional;NA;NA;NA;0;Si;1;Daño individual;Represa Hidroelectrica;0;Rechaza;Renuncia a la jurisdicción originaria y prorroga en favor de tribunales inferiores;No dice;NA;NA;No;No;Unanimidad;NA;NA;6;Bossert, López y Nazareno;JN;JN3;NA;competencia;No dice;No;NA;"La actora demandacon el fin de obtener el pago de una indemnización por los daños y perjuicios sufridos a raíz de la relocalización forzosa a la que fue sometida por la demandada, como consecuencia del impacto ambiental producido por la construcción de la represa hidroeléctrica Yacyretá. la Entidad Binacional Yacyretá solicitó que se cite como tercero a la Provincia de Misiones, en razón de que ambas fueron las que acordaron las políticas de relocalización y rehabilitación de los oleros ubicados en la zona afectada por el Proyecto Yacyretá. PGN sostiene que ""la competencia originaria prevista en el art. 117 de la Constitución Nacional, es necesario que ella participe nominalmente en el pleito -ya sea
como actora, demandada o tercero- y sustancialmente, o sea, que tenga en el litigio un interés directo, de tal manera que la sentencia que se dicte le resulte obligatoria (Fallos: 311:879 y 1822; 312:1227 y 1457; 313:144; 314:508; 322:1511 y 2105, entre muchos otros)"". Agrega que ""ese requisito se ha cumplido en autos, toda vez que la Provincia de Misiones fue citada como tercero por la Entidad Binacional Yacyretá (v. fs. 242/247), en razón de haber intervenido en las políticas adoptadas para la relocalización y rehabilitación de los oleros afectados por la construcción de la represa hidroeléctrica"". 
Agrega que ""al ser demandada dicha entidad y citarse como tercero a la Provincia de Misiones, entiendo que
el sub lite corresponde a la competencia originaria de la Corte ratione personae, toda vez que la única forma de conciliar lo preceptuado por el art. 117 de la Constitución Nacional respecto de las provincias, con la prerrogativa jurisdiccional que le asiste a la Nación -o a una entidad binacionalal fuero federal, sobre la base de lo dispuesto en el art. 116 de la Ley Fundamental, es sustanciando la acción en esta instancia (Fallos: 305:441; 308:2054; 311:489 y 2725; 312:389 y 1875; 313:98 y 551; 317:746; 320:2567; 322:190; 323:702 y
1110 y sentencia in re A.667.XXXVI. Originario AArriola, Juan Pastor c/ Entidad Binacional Yacyretá y otros -3° Misiones s/ daños y perjuicios@, del 9 de noviembre de 2000)"". En M. 219. XXXVII. ORI la Corte señala que la prórroga en favor de los tribunales federales de primera instancia no afecta los derechos del actor porque no hay distinta vecindad."
1998;H. 91. XXXIV. ORI;HIDROELECTRICA TUCUMAN S.A. c/ TUCUMAN, PROVINCIA DE s/ACCION DECLARATIVA;4/5/1999;No tiene;Empresa;NA;NA;No;No;Estado Provincial;NA;NA;NA;1;Si;0;Impuestos/Tasas/Contribuciones/Aranceles;Represa Hidroelectrica;0;Acepta;Cuestión federal predominante y provincia demandada;No dice;NA;NA;No;No;Unanimidad;NA;NA;6;Nazareno, Boggiano, lópez;JN;JN3;NA;competencia;No dice;No;NA;"PGN sostiene que ""la sociedad actora demanda a una Provincia en una causa gue tiene manifiesto contenido federal, todá vez gue, al cuestionarse un gravamen local por ser contrario a lo expresamente estableéido en leyes nacionales, su pretensión importa determinar el sentido y alcance gue ,ha de darse a esas normas federales (conf.doctrina de Fallos: 115:167; 122:244; 292:625 y sus citas; 303:928; 304:310, 995 y 1129; 310:606:
307:1380; 311:2154). Asimismo, el sub-examina se halla entre los pieitos especialmente regidos por la Ley Fundamental a los que alude el artículo 2Q, inciso 1Q de la ley 48, pues en él se debate un tema v¡nculado a la preservación del ordenamiento de las competencias entre las provincias argentinas y el gobierno federal, gue la Consti tución Nacional:. confiere al gobierno nacional (v.dictamenes de este Mini¿1t~t-:i.o Público en causas análogas a ¡a presente in re A.1304~·XXXII. Originario ""Agua y Energía Eléctrica Sociedad del Estado en·  liguidación e/Entre Ríos, ,~rovincia de s/acción declarativa, del 26 de diciembre de. ,19gS, y A. 255. XXXIII. ""Agua y Energía ,."","", ., Electrica S.E. c/Mend6za, '~rovincia de s/acción declarativa)."
2001;A. 823. XXXVII. ORI;AEROLINEAS ARGENTINAS S.A. c/ BUENOS AIRES, PROVINCIA DE Y OTRO (ESTADO NA- CIONAL) s/ACCION DECLARATIVA;6/2/2003;No tiene;Empresa;NA;NA;No;No;Estado Nacional;Estado Provincial;NA;NA;1;No;0;Poder de Policía;NA;0;Acepta;Fuero federal por la persona y provincia demandada.;No dice;No;NA;No;No;Unanimidad;NA;NA;5;Boggiano, López, Maqueda y Vázquez;JN;JN5;NA;competencia;No dice;Si;ORI;PGN sostiene que corresponde la competencia originaria ya que se demanda al Estado nacional y provincial. La discusión gira en torno a la aplicación de la LRP y la norma provincial sobre la planta industrial de Aerolineas en el aeropuerto
2000;A. 895. XXXVI. ORI;APEN AIKE S.A. c/ SANTA CRUZ, PROVINCIA DE s/BENEFICIO DE LITIGAR SIN GASTOS;21/10/2003;326:4319;Empresa;NA;NA;Si;No;Estado Provincial;NA;NA;NA;1;No;0;Areas protegidas provinciales;Área Natural Protegida Península de Magallanes,;0;Acepta;Cuestión federal predominante y provincia demandada;No dice;NA;NA;No;No;Unanimidad;NA;NA;6;Fayt y Moliné O'Connor;EMO;EMO1;NA;competencia;No dice;No;ORI;El fondo del caso se resuelve el 18/11/2021 en en el CSJ 2511/2005 (41-A)/CS1 ?Apen Aike S.A. c/ Santa Cruz, Provincia de s/ acción declarativa de inconstitucionalidad. Hay voto de Vazquez pero no sobre la competencia.
2003;A. 1274. XXXIX. ORI;ASSUPA Y OTROS c/ Y.P.F. S.A. Y OTROS s/DAÑO AMBIENTAL - DAÑO AMBIENTAL;13/7/2004;No tiene;ONG;NA;NA;No;No;Ente nacional/internacional;Empresa;NA;NA;0;Si;5;Minería e Hidrocarburos;Cuenca neuquina;0;Acepta;Fuero federal por la persona y provincia demandada.;No dice;NA;NA;No;No;Unanimidad;NA;NA;8;;EP;EP2;NA;competencia;No dice;No;ORI;Se citan a 5 provincias como terceros y al Estado Nacional. Posteriormente, en otro fallo, la CSJN resuelve un planteo de las provincias sobre una excepción de incompetencia para la reomposición integral por daños ambientales locales. Al respecto, decidió que la Corte no tiene competencia para conocer en su instancia originaria con respecto a pretensiones relativas a la recomposición integral del mismo daño ambiental colectivo de afectación exclusivamente local o provincial, derivado de la actividad hidrocarburífera en la Cuenca Neuquina. Hay disidencias parciales pero no sobre la competencia.
2003;I. 291. XXXIX. ORI;INTENDENTE DE ITUZAINGO Y OTRO c/ ENTIDAD BINACIONAL YACYRETA (E.B.Y.) s/ACCION DE AMPARO;23/11/2004;No tiene;Municipio;NA;NA;NA;NA;Ente nacional/internacional;NA;NA;NA;0;Si;2;EIA;Esteros del Iberá;0;Acepta;Fuero federal por la persona y provincia demandada.;No dice;NA;NA;No;No;Unanimidad;NA;NA;5;Maqueda, Argibay, Lorenzetti, Zaffaroni;EP;EP3;;competencia;No dice;Si;ORI;Se considera competencia originaria porque la EBNY pide la citación como terceros de las provincias de Corrientes y Misiones. Luego la Corte rechaza el amparo y no llega a citarlas
2003;E. 377. XXXIX. ORI;EMPRESA DISTRIBUIDORA LA PLATA S.A. ( EDELAP S.A. ). c/ BUENOS AIRES, PROVINCIA DE s/ACCION MERAMENTE DECLARATIVA;7/12/2004;No tiene;Empresa;NA;NA;No;No;Estado Provincial;NA;NA;NA;1;No;0;Poder de Policía;NA;0;Acepta;Cuestión federal predominante y provincia demandada;No dice;NA;NA;No;No;Unanimidad;NA;NA;7;Argibay, Lorenzetti;EP;EP3;;competencia;No dice;No;ORI;
2003;E. 380. XXXIX. ORI;EDENOR S.A. Y OTRO c/ BUENOS AIRES, PROVINCIA DE s/ACCION DECLARATIVA DE INCONSTITUCIONALIDAD;7/12/2004;No tiene;Empresa;Empresa;NA;Si;No;Estado Provincial;NA;NA;NA;1;No;0;Poder de Policía;NA;0;Acepta;Cuestión federal predominante y provincia demandada;No dice;NA;NA;No;No;Unanimidad;NA;NA;7;Argibay, Lorenzetti;EP;EP3;;competencia;No dice;Si;ORI;En este caso, la CSJN remite a los argumentos del PGN en lo relativo a la competencia originaria. Sin embargo el PGN opina que no se le debe dar trámite a la demanda ya que no se confirgura el requisito de caso o controversia. Para la Corte, si hay caso. 
2004;C. 1732. XL. ORI;Confederación General del Trabajo (C.G.T.) - Consejo Directivo de la C.G.T. Regional Santiago del Estero c/ Tucumán, Provincia de y otro (Estado Nacional) s/ amparo;20/9/2005;No tiene;ONG;NA;NA;Si;No;Estado Provincial;Estado Nacional;NA;NA;1;No;0;Aguas;Dique Frontal de Terma de Río Hondo y Embalse del Río Dulce;0;Acepta;Fuero federal por la materia y provincia;Si;Si;No;No;No;Unanimidad;NA;NA;7;Boggiano;EP;EP6;"(Fallos: 323:1716; 324:3972; 326:3351, Competencia N° 156.XL AFundación Medam c/ Estado Nacional Argentino y otro s/ daños y perjuicios, pronunciamiento del 21 de septiembre de 2004";competencia;No dice;No;ORI;"El caso llegó a la CSJN porque la justicia federal de Santiago del Estero se declaró incompetente. El Procurador remite al caso de Defensor del Pueblo de Santiago del Estero c. Tucuman (D.1837.XXXVIII) y propone la competencia en razón de la persona.

"
2004;A. 1032. XL. ORI;"Asociación Civil Ayo La Bomba y otro c/ Formosa, Provincia de y otro s/ acción de amparo
";11/10/2005;No tiene;ONG;Pueblos Originarios;NA;No dice;No;Estado Nacional;Estado Provincial;NA;NA;1;No;0;Aguas;Bañado La Estrella;0;Rechaza;Derecho local. Ente nacional no es parte sustancial;No dice;NA;NA;No;No;Unanimidad;NA;NA;7;NA;EP;EP7;"conf. causa S.497.XXXII ""Sociedad Electro Comercial S.R.L. c/ Corrientes, Provincia de y otro s/ cobro de pesos"", pronunciamiento del 23 de febrero de 1999; y M.35.XXXIV. ""Mariategui Usandizaga S.A.C.I.M.A.C. c/ Neuquén, Provincia del y otro s/ ordinario"", sentencia del 14 de octubre de , 2004), Fallos: 97:177; 115:167; 311:1588; 315:448 , Fallos: 1:485; 310:1074; 311:1812; 313:1217; 314:240; 315:2544, (Fallos: 324:2725, P.1469.XL ""Promecor S.A. c/ Buenos Aires, Provincia de s/ acción de amparo"", pronunciamiento del 21 de septiembre de 2004, , doctrina que fue mantenida en Fallos: 315:1241 y 317:221 y en las sentencias publicadas en Fallos: 324:2725 y sus citas y P.1469.XL ""Promecor S.A. c/ Buenos Aires, Provincia de s/ acción de amparo"", ya citada), Fallos: 311:1470; 315:1892, disidencia de los jueces Barra y Fayt, sus citas, entre muchos otros , doctrina de Fallos: 307:2249, considerando 31 y sus citas; 318:2457, considerando 61 con cita de Fallos: 236:559, Fallos: 308:2564; 310:295, 2841; 311:1791; 312:282 y 943; 318:992 y 327:436 y sus citas";competencia;No dice;No;ORI;El procurador propone la competencia en razón de la persona (Estado Nacional + provincia)
2005;U. 79. XLI. ORI;UNIVERSIDAD NACIONAL DE SALTA c/ SALTA, PROVINCIA DE s/ACCION DECLARATIVA (VENTA DE LOTES POR LEY) EN ZONA LIMITROFE SALTA-JUJUY PARA LA CONSTRUCCION DE RUTAS QUE AFECTA A COMUNIDADES INDIGENAS;25/10/2005;No tiene;Ente nacional/internacional;NA;NA;No;No;Estado Provincial;NA;NA;NA;1;Si;1;Areas protegidas provinciales;Area Natural Protegida ;0;Acepta;Fuero federal por la persona, provincia, interjurisdiccionalidad;Si;Si;Zona limítrofe;No;No;Unanimidad;NA;NA;7;NA;EP;EP7;;competencia;Si;Si;ORI;El procurador dice que se trata de un área limítrofe entre Jujuy y Salta
2004;M. 1569. XL. ORI;Mendoza, Beatriz Silvia y otros c/ Estado Nacional y otros s/ daños y perjuicios (daños derivados de la contaminación ambiental del Río Matanza - Riachuelo);20/6/2006;329:2316;Persona Física;NA;NA;No dice;No;Estado Nacional;Estado Provincial;Ciudad Autónoma de Buenos Aires;Empresa;1;No;0;Aguas;Cuenca Hídrica Matanza-Riachuelo;0;Acepta;Fuero federal por la materia y provincia;Si;Si;zona limítrofe;Difiere;Si;Voto;Fayt;0.166666667;6;Zaffaroni;EP;EP7;;competencia;Si;No;SEC5;También demanda a empresas privadas, sería un 4° tipo de demandado
2005;"A. 1977. XLI. ORI
";ASOCIACION CIVIL PARA LA DEFENSA Y PROMOCION DEL CIUDADO DEL MEDIO AMBIENTE Y CALIDAD DE VIDA c/ SAN LUIS, PROVINCIA DE Y OTROS s/AMPARO (DAÑO AMBIENTAL);4/7/2006;329:2469;ONG;NA;NA;No;No;Estado Provincial;Municipio;Empresa;NA;1;No;0;Aguas;"""Si bien la contaminación se origina en la Ciudad de Villa Mercedes, sus efectos se expanden hacia otras jurisdicciones a través de las aguas subterráneas y superficiales y cursos de aguas (correntías) del. Río Quinto, como lo son las Provincias de La Pampa, Córdoba y Buenos Aires""";0;Rechaza;Derecho local;No;No;Afirmaciones dogmáticas;No;No;Unanimidad;NA;NA;5;Maqueda y Zaffaroni;EP;EP7;"Causa M.1569.XL. ""Mendoza, Beatriz Silvia y otros c/
Estado Nacional y otros s/ daños y perjuicios [daños derivados de la contaminación ambiental Río Matanza - Riachuelo]"" y Fallos: 324:1173.";competencia;Si;No;NA;PGN no hace un desarrollo argumentativo respecto a la procedencia de la competencia originaria. Solo reconoce por los hechos demandados por la actora que el recurso es interjurisdiccional y que por ello, junto al hecho que se demanda a una provincia, es de competencia originaria.
2006;C. 478. XLII. ORI;CANNAVO, JUAN CARLOS Y OTROS c/ BUENOS AIRES, PROVINCIA DE Y OTROS s/DAÑOS Y PERJUICIOS (NAPAS DE AGUAS);29/9/2006;329:5670;Persona Física;NA;NA;No;No;Ente nacional/internacional;Estado Provincial;Municipio;Empresa;1;No;0;Daño Individual;Daño derivado de la suba de la napa de agua;0;Rechaza;Derecho local y acumulación subjetiva de pretenciones inadmisible;No;NA;NA;No;No;Unanimidad;NA;NA;5;Zaffaroni, Lorenzetti;EP;EP7;"Barreto, Alberto Damián y otrs c/ Buenos Aires, Provincia de y otros; Mendoza Beatriz c/ Estado Nacional y otros
Constitución Naciona";incompetencia;No dice;Si;ORI;"Demandado 4: AYSA, empresa estatal. No aplica ""La corte expresa vecindad"" porque remite al procurador."
2006;"L. 915. XLII. ORI
";LEDEZMA, JUAN CARLOS Y OTROS c/ BUENOS AIRES, PROVINCIA DE Y OTROS s/ACCION DE AMPARO (DAÑO AMBIENTAL);4/10/2006;No tiene;Persona Física;NA;NA;No;No;Estado Nacional;Estado Provincial;Municipio;Empresa;1;No;0;Aguas;No especifica;0;Rechaza;Derecho local y acumulación subjetiva de pretenciones inadmisible;No;NA;NA;No;No;Unanimidad;NA;NA;4;Zaffaroni, Lorenzetti, Argibay;EP;EP7;"Barreto, Alberto Damián y otrs c/ Buenos Aires, Provincia de y otros; Mendoza Beatriz c/ Estado Nacional y otros
Constitución Naciona";incompetencia;No;Si;NA;Demandado 4: AYSA, empresa estatal
